County Code,Race Code,Deaths,Births,Death Rate
18003,2054-5,152,8647,17.58
22017,2054-5,376,22127,16.99
34001,2054-5,118,7219,16.35
39061,2054-5,612,38789,15.78
34021,2054-5,195,12363,15.77
6019,2054-5,151,9587,15.75
1073,2054-5,662,42655,15.52
36001,2054-5,103,6652,15.48
18141,2054-5,109,7068,15.42
20173,2054-5,147,9541,15.41
27037,2054-5,40,5449,7.34
25017,2054-5,102,14250,7.16
36005,2054-5,688,99613,6.91
2020,2054-5,23,3381,6.8
34023,2054-5,90,13514,6.66
25023,2054-5,65,9874,6.58
34003,2054-5,55,8624,6.38
34031,2054-5,94,14912,6.3
25009,2054-5,75,11994,6.25
6085,2054-5,37,6110,6.06
