State,State Code,Deaths,Births,Death Rate,Lat,Lng
Mississippi,28,3823,406596,9.4,32.741646,-89.678696
Alabama,1,5349,606074,8.83,32.806671,-86.79113
District of Columbia,11,812,93126,8.72,38.897438,-77.026817
Louisiana,22,5287,639021,8.27,31.169546,-91.867805
Delaware,10,886,113424,7.81,39.318523,-75.507141
Oklahoma,40,4044,535082,7.56,35.565342,-96.928917
Arkansas,5,2950,390960,7.55,34.969704,-92.373123
North Carolina,37,9279,1232890,7.53,35.630066,-79.806419
Ohio,39,10648,1415822,7.52,40.388783,-82.764915
Tennessee,47,6140,818022,7.51,35.747845,-86.692345
Indiana,18,6228,850460,7.32,39.849426,-86.258278
South Carolina,45,4308,589359,7.31,33.856892,-80.945007
Georgia,13,9865,1356893,7.27,33.040619,-83.643074
West Virginia,54,1503,206787,7.27,38.491226,-80.954453
Michigan,26,8134,1159803,7.01,43.326618,-84.536095
